id,json_body,trade_time_int,pair
1,"{""rate"":""263323.5""}",20170529121230,btc_jpy
2,"{""rate"":""263652.0""}",20170529121240,btc_jpy
3,"{""rate"":""263971.5""}",20170529121250,btc_jpy
4,"{""rate"":""263995.5""}",20170529121300,btc_jpy
5,"{""rate"":""263977.5""}",20170529121310,btc_jpy
6,"{""rate"":""264060.0""}",20170529121320,btc_jpy
7,"{""rate"":""264092.5""}",20170529121330,btc_jpy
8,"{""rate"":""264094.5""}",20170529121340,btc_jpy
9,"{""rate"":""264096.0""}",20170529121350,btc_jpy
10,"{""rate"":""263952.5""}",20170529121400,btc_jpy
11,"{""rate"":""263889.5""}",20170529121410,btc_jpy
12,"{""rate"":""263897.0""}",20170529121420,btc_jpy
13,"{""rate"":""263992.5""}",20170529121430,btc_jpy
14,"{""rate"":""264073.5""}",20170529121440,btc_jpy
15,"{""rate"":""263871.0""}",20170529121450,btc_jpy
16,"{""rate"":""263896.0""}",20170529121501,btc_jpy
17,"{""rate"":""263802.5""}",20170529121511,btc_jpy
18,"{""rate"":""263757.0""}",20170529121521,btc_jpy
19,"{""rate"":""262645.5""}",20170529121531,btc_jpy
20,"{""rate"":""262931.5""}",20170529121541,btc_jpy
21,"{""rate"":""263577.0""}",20170529121551,btc_jpy
22,"{""rate"":""263708.5""}",20170529121601,btc_jpy
23,"{""rate"":""263640.0""}",20170529121611,btc_jpy
24,"{""rate"":""262869.5""}",20170529121621,btc_jpy
25,"{""rate"":""262725.0""}",20170529121631,btc_jpy
26,"{""rate"":""262704.0""}",20170529121641,btc_jpy
27,"{""rate"":""262675.5""}",20170529121651,btc_jpy
28,"{""rate"":""262692.5""}",20170529121701,btc_jpy
29,"{""rate"":""262691.5""}",20170529121711,btc_jpy
30,"{""rate"":""262687.5""}",20170529121721,btc_jpy
31,"{""rate"":""262822.5""}",20170529121731,btc_jpy
32,"{""rate"":""262901.0""}",20170529121741,btc_jpy
33,"{""rate"":""262942.0""}",20170529121751,btc_jpy
34,"{""rate"":""262551.5""}",20170529121802,btc_jpy
35,"{""rate"":""262735.0""}",20170529121812,btc_jpy
36,"{""rate"":""262557.0""}",20170529121822,btc_jpy
37,"{""rate"":""262740.0""}",20170529121832,btc_jpy
38,"{""rate"":""262805.5""}",20170529121842,btc_jpy
39,"{""rate"":""263628.5""}",20170529121852,btc_jpy
40,"{""rate"":""263359.0""}",20170529121902,btc_jpy
41,"{""rate"":""263824.0""}",20170529121912,btc_jpy
42,"{""rate"":""264067.5""}",20170529121922,btc_jpy
43,"{""rate"":""264701.5""}",20170529121932,btc_jpy
44,"{""rate"":""264797.0""}",20170529121942,btc_jpy
45,"{""rate"":""264943.5""}",20170529121952,btc_jpy
46,"{""rate"":""264818.5""}",20170529122002,btc_jpy
47,"{""rate"":""264869.0""}",20170529122012,btc_jpy
48,"{""rate"":""264541.5""}",20170529122022,btc_jpy
49,"{""rate"":""263870.0""}",20170529122032,btc_jpy
50,"{""rate"":""264422.0""}",20170529122042,btc_jpy
51,"{""rate"":""264478.0""}",20170529122052,btc_jpy
52,"{""rate"":""264345.5""}",20170529122102,btc_jpy
53,"{""rate"":""264164.0""}",20170529122113,btc_jpy
54,"{""rate"":""263991.0""}",20170529122123,btc_jpy
55,"{""rate"":""263855.0""}",20170529122133,btc_jpy
56,"{""rate"":""263871.5""}",20170529122143,btc_jpy
57,"{""rate"":""263846.5""}",20170529122153,btc_jpy
58,"{""rate"":""263813.0""}",20170529122203,btc_jpy
59,"{""rate"":""263826.5""}",20170529122213,btc_jpy
60,"{""rate"":""263781.5""}",20170529122223,btc_jpy
61,"{""rate"":""263765.5""}",20170529122233,btc_jpy
62,"{""rate"":""263925.0""}",20170529122243,btc_jpy
63,"{""rate"":""263852.0""}",20170529122253,btc_jpy
64,"{""rate"":""263902.0""}",20170529122303,btc_jpy
65,"{""rate"":""263995.0""}",20170529122313,btc_jpy
66,"{""rate"":""264052.5""}",20170529122323,btc_jpy
67,"{""rate"":""264096.5""}",20170529122333,btc_jpy
68,"{""rate"":""263908.0""}",20170529122343,btc_jpy
69,"{""rate"":""263898.0""}",20170529122353,btc_jpy
70,"{""rate"":""263903.0""}",20170529122403,btc_jpy
71,"{""rate"":""263986.0""}",20170529122413,btc_jpy
72,"{""rate"":""264122.5""}",20170529122424,btc_jpy
73,"{""rate"":""264136.0""}",20170529122434,btc_jpy
74,"{""rate"":""264116.5""}",20170529122444,btc_jpy
75,"{""rate"":""264091.5""}",20170529122454,btc_jpy
76,"{""rate"":""264077.0""}",20170529122504,btc_jpy
77,"{""rate"":""264190.5""}",20170529122514,btc_jpy
78,"{""rate"":""264190.5""}",20170529122524,btc_jpy
79,"{""rate"":""264128.0""}",20170529122534,btc_jpy
80,"{""rate"":""264145.0""}",20170529122544,btc_jpy
81,"{""rate"":""264092.0""}",20170529122554,btc_jpy
82,"{""rate"":""264188.5""}",20170529122604,btc_jpy
83,"{""rate"":""264227.5""}",20170529122614,btc_jpy
84,"{""rate"":""264092.5""}",20170529122624,btc_jpy
85,"{""rate"":""264152.5""}",20170529122634,btc_jpy
86,"{""rate"":""264196.5""}",20170529122644,btc_jpy
87,"{""rate"":""264102.5""}",20170529122654,btc_jpy
88,"{""rate"":""264255.0""}",20170529122704,btc_jpy
89,"{""rate"":""264277.0""}",20170529122714,btc_jpy
90,"{""rate"":""264237.5""}",20170529122725,btc_jpy
91,"{""rate"":""264101.0""}",20170529122735,btc_jpy
92,"{""rate"":""264032.0""}",20170529122745,btc_jpy
93,"{""rate"":""263738.0""}",20170529122755,btc_jpy
94,"{""rate"":""263783.0""}",20170529122805,btc_jpy
95,"{""rate"":""263657.5""}",20170529122815,btc_jpy
96,"{""rate"":""263540.5""}",20170529122825,btc_jpy
97,"{""rate"":""263192.5""}",20170529122835,btc_jpy
98,"{""rate"":""263144.0""}",20170529122845,btc_jpy
99,"{""rate"":""262960.0""}",20170529122855,btc_jpy
100,"{""rate"":""262960.0""}",20170529122905,btc_jpy
