id,json_body,trade_time_int
1,"{""last"":274169,""bid"":274169,""ask"":274193,""high"":276000,""low"":263200,""volume"":""10370.53629832"",""timestamp"":1496142544}",20170530200910
2,"{""last"":274169,""bid"":274169,""ask"":274193,""high"":276000,""low"":263200,""volume"":""10370.47219832"",""timestamp"":1496142554}",20170530200920
3,"{""last"":274169,""bid"":274169,""ask"":274192,""high"":276000,""low"":263200,""volume"":""10370.25583029"",""timestamp"":1496142565}",20170530200930
4,"{""last"":274168,""bid"":274168,""ask"":274173,""high"":276000,""low"":263200,""volume"":""10372.32067029"",""timestamp"":1496142575}",20170530200940
5,"{""last"":274135,""bid"":274135,""ask"":274232,""high"":276000,""low"":263200,""volume"":""10373.05360911"",""timestamp"":1496142585}",20170530200950
6,"{""last"":274279,""bid"":274136,""ask"":274247,""high"":276000,""low"":263200,""volume"":""10373.17917911"",""timestamp"":1496142596}",20170530201000
7,"{""last"":274246,""bid"":274229,""ask"":274246,""high"":276000,""low"":263200,""volume"":""10370.66708565"",""timestamp"":1496142608}",20170530201010
8,"{""last"":274266,""bid"":274243,""ask"":274279,""high"":276000,""low"":263200,""volume"":""10369.80018565"",""timestamp"":1496142618}",20170530201020
9,"{""last"":274345,""bid"":274259,""ask"":274324,""high"":276000,""low"":263200,""volume"":""10369.50576356"",""timestamp"":1496142629}",20170530201032
10,"{""last"":274344,""bid"":274246,""ask"":274332,""high"":276000,""low"":263200,""volume"":""10369.52796586"",""timestamp"":1496142638}",20170530201042
11,"{""last"":274246,""bid"":274246,""ask"":274338,""high"":276000,""low"":263200,""volume"":""10369.72851292"",""timestamp"":1496142648}",20170530201052
12,"{""last"":274275,""bid"":274265,""ask"":274330,""high"":276000,""low"":263200,""volume"":""10369.35180804"",""timestamp"":1496142658}",20170530201102
13,"{""last"":274274,""bid"":274274,""ask"":274327,""high"":276000,""low"":263200,""volume"":""10369.67770804"",""timestamp"":1496142664}",20170530201112
14,"{""last"":274275,""bid"":274275,""ask"":274313,""high"":276000,""low"":263200,""volume"":""10369.77040804"",""timestamp"":1496142674}",20170530201122
15,"{""last"":274273,""bid"":274275,""ask"":274331,""high"":276000,""low"":263200,""volume"":""10370.51928432"",""timestamp"":1496142689}",20170530201132
16,"{""last"":274121,""bid"":274134,""ask"":274313,""high"":276000,""low"":263200,""volume"":""10372.99669432"",""timestamp"":1496142695}",20170530201142
17,"{""last"":274313,""bid"":274177,""ask"":274284,""high"":276000,""low"":263200,""volume"":""10372.77909432"",""timestamp"":1496142704}",20170530201152
18,"{""last"":274282,""bid"":274243,""ask"":274283,""high"":276000,""low"":263200,""volume"":""10373.62090145"",""timestamp"":1496142715}",20170530201202
19,"{""last"":274356,""bid"":274329,""ask"":274346,""high"":276000,""low"":263200,""volume"":""10374.48439916"",""timestamp"":1496142725}",20170530201212
20,"{""last"":274267,""bid"":274279,""ask"":274280,""high"":276000,""low"":263200,""volume"":""10374.32432389"",""timestamp"":1496142735}",20170530201222
21,"{""last"":274000,""bid"":274013,""ask"":274296,""high"":276000,""low"":263200,""volume"":""10375.16305697"",""timestamp"":1496142746}",20170530201232
22,"{""last"":274013,""bid"":274015,""ask"":274263,""high"":276000,""low"":263200,""volume"":""10371.96415697"",""timestamp"":1496142755}",20170530201242
23,"{""last"":274258,""bid"":274015,""ask"":274234,""high"":276000,""low"":263200,""volume"":""10371.42221697"",""timestamp"":1496142764}",20170530201253
24,"{""last"":274258,""bid"":274015,""ask"":274211,""high"":276000,""low"":263200,""volume"":""10371.04446362"",""timestamp"":1496142777}",20170530201303
25,"{""last"":274207,""bid"":274030,""ask"":274188,""high"":276000,""low"":263200,""volume"":""10367.64958462"",""timestamp"":1496142784}",20170530201313
26,"{""last"":274206,""bid"":274019,""ask"":274207,""high"":276000,""low"":263200,""volume"":""10368.64806462"",""timestamp"":1496142795}",20170530201323
27,"{""last"":274245,""bid"":274232,""ask"":274244,""high"":276000,""low"":263200,""volume"":""10368.74271643"",""timestamp"":1496142808}",20170530201333
28,"{""last"":274245,""bid"":274157,""ask"":274243,""high"":276000,""low"":263200,""volume"":""10368.47877643"",""timestamp"":1496142819}",20170530201343
29,"{""last"":274244,""bid"":274169,""ask"":274230,""high"":276000,""low"":263200,""volume"":""10369.50045643"",""timestamp"":1496142825}",20170530201353
30,"{""last"":274244,""bid"":274183,""ask"":274230,""high"":276000,""low"":263200,""volume"":""10361.27499353"",""timestamp"":1496142835}",20170530201403
